epoch,train_total,train_diff,train_teacher,train_lpips,val_total,val_diff,val_teacher,val_lpips
1,0.3971500545889139,0.3303772486979142,0.18004408300543825,0.12759577973801303,0.28012230540812016,0.23318940646760167,0.11985355109162629,0.1097683307074476
2,0.2985851016032199,0.2517604506535766,0.11897680759880071,0.11131606437246956,0.2775843449756503,0.23412761583179237,0.10724625237844884,0.1128285252219066
3,0.2798020377140492,0.2359767273499941,0.11088729143158223,0.10559121360019587,0.2837680658828467,0.2353605853272602,0.12549663092195987,0.10758490052889101
4,0.274521287439391,0.2317624657790487,0.10817819617207472,0.10305361039838318,0.26686353428661824,0.22485704866982997,0.1037981785973534,0.1086702942806296
5,0.2602824324987208,0.2185663817008802,0.10404374102161576,0.10502927076503207,0.2653987650349736,0.22544035295117645,0.10036817207466811,0.09847958035580814
6,0.26060909331791726,0.21944043864371876,0.10450542204617523,0.09817026524697334,0.2525808888748288,0.2102614562669769,0.10574805913120508,0.10595013509690762
7,0.2521014752614622,0.21179233332451744,0.10144177851833713,0.0987660659776108,0.2491981205586344,0.2103652914892882,0.0965377065804787,0.09871516507258639
8,0.25249249357373144,0.21238791774733304,0.10083226697899712,0.09854894323788176,0.2536943548172712,0.21276130410237237,0.1047214060537517,0.09516626201593317
9,0.2612729212065848,0.22094363287199908,0.10252494005517414,0.09571804304116813,0.2283461474776268,0.19052928404277192,0.09124210989195854,0.10444228804623708
10,0.24735555045694735,0.20775685196897636,0.10026337894999111,0.09519683292312463,0.26342391781136393,0.22117169783683494,0.11086979638645425,0.089912794826756
11,0.2558101054794776,0.21575337423283297,0.10183022132795304,0.09507663522822743,0.2433034948389977,0.2039010008336045,0.10067387927742676,0.09200327150087105
12,0.2477449984490716,0.20821393455790047,0.10027309672817743,0.09449133522526487,0.26422999587096274,0.22132758613536135,0.11403218917455524,0.08692751513421536
13,0.24396898497330646,0.2044573999151277,0.1006048519158115,0.09330127628800013,0.24070877766329796,0.20067213304014878,0.1025185285974294,0.09281085315527161
14,0.2447352564803635,0.20585465855229024,0.09886014546492758,0.09222552856611341,0.22603461145050824,0.18859143009828402,0.0949626563345082,0.08954383524484001
15,0.24675452154238398,0.20769605886229936,0.09980003824977515,0.0911844959341688,0.2297339861895889,0.19212519608065487,0.09603737136721612,0.08797577488655224
