epoch,train_total,train_diff,train_teacher,val_total,val_diff,val_teacher
1,0.24914800944955398,0.2358620218539921,0.13285987709400554,0.23999482282157988,0.22689894804172217,0.13095874303393065
2,0.23823372698652867,0.2252898897929117,0.12943837325445687,0.22697262761369347,0.21448400170356036,0.12488626192323864
3,0.22595535266244163,0.2134156382563524,0.12539714440051467,0.2535909489048645,0.24018884628172965,0.13402102506160737
4,0.23093543214335416,0.21816702447288358,0.127684076616851,0.245940964916721,0.2328216722002253,0.13119292519567535
5,0.2330709331833447,0.22020483800582588,0.12866095229486624,0.23842505321092905,0.22482586690876633,0.13599186648987233
6,0.23463995078151736,0.22178747739611815,0.12852473666782802,0.24158363605756314,0.2284390165656805,0.13144618401583283
7,0.21267783136619256,0.20061333765058467,0.12064493507690106,0.2448566675717011,0.23109829158801584,0.1375837515015155
8,0.2260752899136084,0.21333822235736685,0.12737067673231164,0.24110630855802448,0.22837661905772985,0.12729688002169132
9,0.2311913671111688,0.21838368408746706,0.12807683226504984,0.22951479951152579,0.21652226538583635,0.12992533721402288
10,0.21075394919336152,0.19859155000179696,0.12162399240086476,0.20522721461579205,0.19287399207800626,0.12353222965076566
11,0.21966950163144308,0.20704139480926095,0.12628106868585262,0.22850277677923442,0.21615279376599938,0.12349982623010874
12,0.23198809797991998,0.21913058097776958,0.12857517009119815,0.20389955699350684,0.19248845095653086,0.11411105885822326
13,0.2117131878718113,0.1994995550608728,0.12213632783200591,0.19952349733933805,0.18764153583021834,0.11881961483694613
14,0.2176440733486476,0.20506608215222757,0.12577991324663162,0.22996432424057275,0.2165133240260184,0.1345100014540367
15,0.21273212721563564,0.20024954104058754,0.12482585931996194,0.21101865901704878,0.19862796642491595,0.1239069192907773
